Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Type of library,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Moray,Aberlour Library,94 High Street,,Aberlour,AB38 9QA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_39958.html,
Moray,Buckie Library,Cluny Place ,,Buckie,AB56 1HB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_39960.html,
Moray,Burghead Library,Burghead Primary School,,Burghead ,IV30 5UQ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_39961.html,
Moray,Cullen Library,Seafield Road,,Cullen,AB56 4AF,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_39962.html,
Moray,Dufftown Library,Balvenie Street,,Dufftown,AB55 4AB,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_39963.html,
Moray,Elgin Library,Cooper Park,,Moray,IV30 1HS,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_1435.html,
Moray,Fochabers Library,Milne's Learning Centre ,,Milne's High School West Street ,IV32 7DJ,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_39965.html,
Moray,Forres Library,Forres House High Street,,Forres,IV36 1BU,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_39966.html,
Moray,Keith Library,Union Street,,Keith,AB55 5DP,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_39968.html,
Moray,Lossiemouth Library,Town Hall Lane,,Lossiemouth,IV31 6AA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_39970.html,
Moray,Tomintoul Library,Tomintoul Primary School  ,,Cults Drive,AB37 9HA,,Yes,LAL,,,,,,,,,,,,,,,,,,No,,,http://www.moray.gov.uk/moray_standard/page_39973.html,
